,date,open,high,low,close,volume,market_cap,year,month,quarter,price
7257,2019-11-13,8812.03,8836.84,8761.65,8808.26,17545755405.0,158949942842.0,2019,November,4,8804.695
7258,2019-11-12,8759.75,8853.77,8685.43,8815.66,20309769107.0,159068712900.0,2019,November,4,8778.6525
7259,2019-11-11,9056.92,9081.28,8700.61,8757.79,20265510765.0,158009772437.0,2019,November,4,8899.15
7260,2019-11-10,8812.49,9103.83,8806.16,9055.53,20587919881.0,163364406732.0,2019,November,4,8944.502499999999
7261,2019-11-09,8809.47,8891.82,8793.16,8813.58,17578630606.0,158981489715.0,2019,November,4,8827.0075
7262,2019-11-08,9265.37,9272.76,8775.53,8804.88,24333037836.0,158808570729.0,2019,November,4,9029.635
7263,2019-11-07,9352.39,9368.48,9202.35,9267.56,22700383839.0,167138722904.0,2019,November,4,9297.695
7264,2019-11-06,9340.86,9423.24,9305.91,9360.88,23133895765.0,168806151583.0,2019,November,4,9357.7225
7265,2019-11-05,9413.0,9457.42,9256.93,9342.53,26198609048.0,168459778835.0,2019,November,4,9367.47
7266,2019-11-04,9235.61,9505.05,9191.49,9412.61,26170255634.0,169706332936.0,2019,November,4,9336.19
7267,2019-11-03,9324.79,9379.81,9141.25,9235.35,21132220847.0,166495319475.0,2019,November,4,9270.3
7268,2019-11-02,9259.78,9377.49,9249.59,9324.72,21242676385.0,168090392935.0,2019,November,4,9302.895
7269,2019-11-01,9193.99,9275.66,9132.05,9261.1,24324691031.0,166928044164.0,2019,November,4,9215.7
7270,2019-10-31,9202.46,9383.16,9028.72,9199.58,26583653947.0,165804227835.0,2019,October,4,9203.48
7271,2019-10-30,9422.46,9426.87,9085.37,9205.73,27706531577.0,165899500650.0,2019,October,4,9285.1075
7272,2019-10-29,9248.44,9516.18,9232.65,9427.69,28426779937.0,169883866262.0,2019,October,4,9356.24
7273,2019-10-28,9565.1,9805.12,9256.15,9256.15,30948255332.0,166777392742.0,2019,October,4,9470.630000000001
7274,2019-10-27,9241.71,9749.53,9112.54,9551.71,32593129501.0,172087039875.0,2019,October,4,9413.8725
7275,2019-10-26,8667.58,10021.74,8662.62,9244.97,44496255609.0,166547360782.0,2019,October,4,9149.2275
7276,2019-10-25,7490.7,8691.54,7479.98,8660.7,28705065488.0,156006603607.0,2019,October,4,8080.7300000000005
7277,2019-10-24,7509.73,7532.87,7446.99,7493.49,16268708849.0,134968410276.0,2019,October,4,7495.77
7278,2019-10-23,8076.23,8093.0,7469.32,7514.67,21942878958.0,135337364282.0,2019,October,4,7788.305
7279,2019-10-22,8243.4,8296.65,8074.46,8078.2,16803377857.0,145469660005.0,2019,October,4,8173.1775
7280,2019-10-21,8225.12,8296.69,8196.42,8243.72,15868748866.0,148432733155.0,2019,October,4,8240.4875
7281,2019-10-20,7997.81,8281.82,7949.44,8222.08,15504249442.0,148026597064.0,2019,October,4,8112.787499999999
